staff_name,role,shift_hour,hour_of_shift,active_patients
Dr. McKay,resident,2024-03-15 07:00:00,7,2
Dr. Langdon,resident,2024-03-15 07:00:00,7,1
Dr. Abbott,attending,2024-03-15 07:00:00,7,1
Dr. Singh,resident,2024-03-15 07:00:00,7,1
Dr. Whitfield,attending,2024-03-15 08:00:00,8,3
Dr. Langdon,resident,2024-03-15 08:00:00,8,3
Dr. Tran,resident,2024-03-15 08:00:00,8,3
Dr. Collins,attending,2024-03-15 08:00:00,8,2
Dr. Abbott,attending,2024-03-15 08:00:00,8,2
Dr. McKay,resident,2024-03-15 08:00:00,8,1
Dr. Morin,attending,2024-03-15 08:00:00,8,1
Dr. Patel,resident,2024-03-15 08:00:00,8,1
Dr. Singh,resident,2024-03-15 08:00:00,8,1
Dr. Patel,resident,2024-03-15 09:00:00,9,5
Dr. Langdon,resident,2024-03-15 09:00:00,9,5
Dr. Tran,resident,2024-03-15 09:00:00,9,4
Dr. McKay,resident,2024-03-15 09:00:00,9,3
Dr. Abbott,attending,2024-03-15 09:00:00,9,3
Dr. Morin,attending,2024-03-15 09:00:00,9,3
Dr. Singh,resident,2024-03-15 09:00:00,9,3
Dr. Whitfield,attending,2024-03-15 09:00:00,9,2
Dr. Robby Robinavitch,attending,2024-03-15 09:00:00,9,2
Dr. Collins,attending,2024-03-15 09:00:00,9,2
Dr. Dana Evans,attending,2024-03-15 09:00:00,9,1
Dr. Langdon,resident,2024-03-15 10:00:00,10,4
Dr. Patel,resident,2024-03-15 10:00:00,10,4
Dr. Dana Evans,attending,2024-03-15 10:00:00,10,4
Dr. Abbott,attending,2024-03-15 10:00:00,10,2
Dr. Tran,resident,2024-03-15 10:00:00,10,2
Dr. Whitfield,attending,2024-03-15 10:00:00,10,2
Dr. Collins,attending,2024-03-15 10:00:00,10,1
Dr. Robby Robinavitch,attending,2024-03-15 10:00:00,10,1
Dr. Singh,resident,2024-03-15 10:00:00,10,1
Dr. McKay,resident,2024-03-15 10:00:00,10,1
Dr. Morin,attending,2024-03-15 10:00:00,10,1
Dr. Langdon,resident,2024-03-15 11:00:00,11,6
Dr. Patel,resident,2024-03-15 11:00:00,11,6
Dr. McKay,resident,2024-03-15 11:00:00,11,6
Dr. Dana Evans,attending,2024-03-15 11:00:00,11,5
Dr. Singh,resident,2024-03-15 11:00:00,11,5
Dr. Whitfield,attending,2024-03-15 11:00:00,11,5
Dr. Abbott,attending,2024-03-15 11:00:00,11,4
Dr. Robby Robinavitch,attending,2024-03-15 11:00:00,11,4
Dr. Tran,resident,2024-03-15 11:00:00,11,4
Dr. Collins,attending,2024-03-15 11:00:00,11,3
Dr. Morin,attending,2024-03-15 11:00:00,11,3
Dr. Langdon,resident,2024-03-15 12:00:00,12,9
Dr. Morin,attending,2024-03-15 12:00:00,12,7
Dr. Abbott,attending,2024-03-15 12:00:00,12,7
Dr. Collins,attending,2024-03-15 12:00:00,12,7
Dr. Singh,resident,2024-03-15 12:00:00,12,7
Dr. Tran,resident,2024-03-15 12:00:00,12,6
